title,price_base,cpu_cores,cpu_threads,ram_size,storage_size,screen_size,raw_specs_count,ram_type_DDR3,ram_type_DDR3L,ram_type_DDR4,ram_type_DDR4X,ram_type_DDR5,ram_type_DDR5X,ram_type_DDR6,ram_type_RAM_TYPE,brand_score,cpu_gen,cpu_performance_score,cpu_brand_Intel,cpu_brand_AMD,gpu_vram,gpu_brand_te,gpu_class_te,screen_brightness_nits,screen_srgb_percent,screen_ntsc_percent,screen_anti_glare,battery_wh,battery_cells,res_width,res_height,res_total_pixels,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_NVIDIA,gpu_brand_Other,gpu_brand_Unknown,gpu_class_Discrete,gpu_class_Integrated,gpu_class_Unknown
Laptop HP Pavilion 15-cs3116TX 9AV24PA,13490000,,,,256,15.6,13,0,0,0,0,0,0,0,0,13.10868263,1,53,1,0,2,22581061.71,22201242.5,250,100,45,0,41,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS TUF Gaming FA506II-AL012T,21990000,,,8,512,15.6,16,0,0,0,0,0,0,0,0,19.29295488,4,80.6,0,1,4,22439261.99,22025531.55,300,100,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP 14S-DQ5121TU 8W355PA,12990000,6,,8,512,14,20,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13841510.26,13704626.75,300,100,45,0,4,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W,20990000,8,12,16,512,14,26,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13841510.26,13704626.75,300,100,45,0,50,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Dell Inspiron 7306 N3I5202W,28490000,,,8,512,13.3,21,0,0,0,1,0,0,0,0,14.56805085,0,40,1,0,0,13654235.33,13630870.22,300,100,45,0,60,4,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo ThinkBook 14 G6+ IMH 21LD0000CD,16590000,,,32,1024,14.5,20,0,0,0,0,0,1,0,0,17.96314815,0,40,1,0,0,13654235.33,13630870.22,300,100,45,0,85,3,3072,1920,5898240,0,1,0,0,0,0,1,0
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K0000AVN,17990000,8,12,24,512,14,26,0,0,0,0,1,0,0,0,17.96314815,0,40,1,0,0,13899279.02,13824684.62,300,100,45,1,60,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Asus Vivobook Pro M3401QA KM006W,17800000,,,8,512,14,10,0,0,1,0,0,0,0,0,19.29295488,0,50,0,1,0,13359707.6,13710496.13,300,100,45,0,63,3,2880,1800,5184000,1,0,0,0,0,0,1,0
Laptop Acer Aspire 7 A715-42G-R05G,11890000,,,8,512,15.6,23,0,0,1,0,0,0,0,0,13.98517266,0,50,0,1,4,22506376.81,22179527.09,300,100,45,1,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS Vivobook 15 OLED A1505VA-L1341W,13890000,,,16,512,15.6,25,0,0,1,0,0,0,0,0,19.29295488,0,57.5,1,0,0,13792440.69,13719959.95,600,100,45,0,50,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo Ideapad Gaming 3 15ARH7,27490000,,,8,512,15.6,24,0,0,0,0,1,0,0,0,17.96314815,6,114.4,0,1,4,22506376.81,22179527.09,250,100,45,0,60,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP 250 G9 AG2K7AT,19190000,10,,16,512,15.6,21,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13792440.69,13719959.95,300,100,45,1,4,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop MSI Modern 14 B11SBU-668VN,15200000,,8,8,512,14,21,0,0,1,0,0,0,0,0,19.22594366,0,40,1,0,2,22506376.81,22179527.09,300,100,45,0,52,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo Ideapad Yoga 6 13ALC6 82ND00BDVN,16800000,,16,8,512,13.3,10,0,0,1,0,0,0,0,0,17.96314815,0,40,0,1,0,13359707.6,13710496.13,300,100,45,0,60,4,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Dell Inspiron 15 3520 N3520-I5U165W11SLU,16990000,,,16,512,15.6,24,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,0,13899279.02,13824684.62,300,100,45,1,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Dell Vostro 13 5310 YV5WY1,22990000,,,8,512,13.3,19,0,0,0,1,0,0,0,0,14.56805085,0,40,1,0,0,13654235.33,13630870.22,300,100,45,0,54,4,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Lenovo Yoga 7 2-IN-1 14IML9 83DJ00H8VN,27490000,14,18,16,1024,14,29,0,0,0,0,0,1,0,0,17.96314815,0,40,1,0,0,13841510.26,13704626.75,400,100,45,0,71,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Asus Vivobook A412DA-EK160T,8090000,,,8,512,14,17,0,0,1,0,0,0,0,0,19.29295488,0,50,0,0,0,13296713.48,13630870.22,300,100,45,0,48,3,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Dell Inspiron 3493 WTW3M2,11490000,,4,4,256,14,14,0,0,0,0,0,0,0,0,14.56805085,0,40,1,0,0,13792440.69,13719959.95,300,100,45,0,42,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop HP 245 G9 8F155PA,9590000,,,8,256,14,23,0,0,1,0,0,0,0,0,13.10868263,0,40,0,1,0,13485502.96,13824684.62,300,100,45,1,41,3,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop MSI Stealth A16 AI+ A3XWHG-085VN,73990000,,,32,1024,16,29,0,0,0,0,0,1,0,0,19.22594366,0,40,0,1,12,22439261.99,22025531.55,300,100,45,0,9,3,2560,1600,4096000,0,0,1,0,0,1,0,0
Laptop Dell Gaming G3 3500 G3500B,31990000,,,16,512,15.6,18,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,6,22768891.99,22340518,250,100,45,0,68,3,1080,1920,2073600,0,0,1,0,0,1,0,0
Laptop ASUS Gaming ROG Zephyrus G15 GA503QM-HQ097T,39990000,,,16,512,15.6,19,0,0,1,0,0,0,0,0,19.29295488,5,114.75,0,1,6,22432546.13,21948747.84,300,100,45,0,90,3,2560,1440,3686400,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad 3 14ITL6 82H701QVVN,17490000,4,8,16,512,14,12,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,0,13841510.26,13704626.75,300,100,45,1,45,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop LG gram 2020 14ZD90N-V.AX55A5,30490000,,,8,512,14,21,0,0,1,0,0,0,0,0,22.43294118,0,40,1,0,0,13792440.69,13719959.95,300,100,45,0,72,4,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop HP Pavilion x360 14 EK0056TU 6L294PA,21190000,10,12,8,512,14,22,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13792440.69,13719959.95,250,100,45,0,43,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Alienware X14 R1,19990000,,20,16,512,14,11,0,0,0,0,1,0,0,0,17.01333252,0,40,1,0,4,22506376.81,22179527.09,400,100,45,0,5,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP Pavilion 16-AF0055TU AY8C4PA,16590000,12,,16,512,16,12,0,0,0,0,1,0,0,0,13.10868263,0,40,1,0,0,13841510.26,13704626.75,300,100,45,1,16,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop MSI Katana GF66 12UCK-699VN,23400000,,,8,512,15.6,11,0,0,1,0,0,0,0,0,19.22594366,0,40,0,0,0,22768891.99,22340518,300,100,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Acer Aspire 5 A514-54-540F NX.A28SV.005,18490000,,,8,512,14,17,0,0,1,0,0,0,0,0,13.98517266,0,40,1,0,0,13841510.26,13704626.75,300,100,45,0,48,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Asus X409MA-BV032T,6990000,,,,256,14,12,0,0,0,0,0,0,0,0,19.29295488,0,40,1,0,0,14991125,14991125,300,100,45,0,32,2,1366,768,1049088,0,0,0,0,1,0,0,1
Laptop HP 14S-FQ1080AU 4K0Z7PA,12490000,,,8,256,14,15,0,0,1,0,0,0,0,0,13.10868263,5,58.5,0,1,0,13485502.96,13824684.62,300,100,45,0,41,3,1366,768,1049088,1,0,0,0,0,0,1,0
Laptop HP Pavilion 15-EG2059TU 6K789PA,10590000,,,8,256,15.6,18,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13654235.33,13630870.22,250,100,45,0,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo Ideapad 5 Pro 16ARH7 82SN003KVN,32990000,,,16,512,16,24,0,0,0,0,1,0,0,0,17.96314815,6,118.8,0,1,4,22506376.81,22179527.09,350,100,45,1,75,3,2560,1600,4096000,0,0,1,0,0,1,0,0
Laptop Dell Gaming G15 5520,15990000,,,16,512,15.6,21,0,0,0,0,1,0,0,0,14.56805085,0,40,1,0,4,22439261.99,22025531.55,300,100,45,0,86,6,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Dell Inspiron 15 3530 N5I5791W1,13990000,,,16,512,15.6,24,0,0,1,0,0,0,0,0,14.56805085,0,57.5,1,0,0,13899279.02,13824684.62,250,100,45,1,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,30990000,16,,16,1024,14,25,0,0,0,0,1,0,0,0,19.22594366,0,40,1,0,6,22439261.99,22025531.55,300,100,45,1,90,3,1920,1200,2304000,0,0,1,0,0,1,0,0
Laptop HP 15-EF2126WM 4J771UA,13600000,,12,8,256,15.6,19,0,0,1,0,0,0,0,0,13.10868263,0,40,0,1,0,13343287.67,13719959.95,300,100,45,0,41,3,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Lenovo LOQ 15IAX9 83GS001RVN,23990000,8,12,,512,15.6,11,0,0,0,0,1,0,0,0,17.96314815,0,40,1,0,6,22439261.99,22025531.55,300,100,45,1,60,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Asus Vivobook 14 X1402ZA-EK098W,15100000,,,8,256,14,21,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13899279.02,13824684.62,220,100,45,0,48,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Dell Vostro 3520,15990000,,,8,512,15.6,17,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,2,22432546.13,21948747.84,300,100,45,1,48,3,1080,1920,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo Thinkpad P15S G2 T 20W600CHVA,21990000,,,16,512,15.6,20,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,4,22432546.13,21948747.84,300,100,45,0,57,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,34990000,,,32,1024,14,11,0,0,0,0,0,1,0,0,19.29295488,0,40,1,0,0,13757866.76,13710496.13,600,100,45,0,75,3,2880,1800,5184000,0,1,0,0,0,0,1,0
Laptop Acer Swift 3X SF314-510G-57MR NX.A10SV.004,22990000,,,8,512,14,21,0,0,0,1,0,0,0,0,13.98517266,0,40,1,0,4,13757866.76,22340518,300,100,72,0,7,4,1920,1080,2073600,0,1,0,0,0,1,0,0
Laptop Asus VivoBook S 14 Flip TP3402VA-LZ031W,21990000,12,16,16,512,14,24,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13841510.26,13704626.75,300,100,45,0,50,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop HP 15S-FQ5161TU 7C0S2PA,9490000,,,8,512,15.6,21,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13792440.69,13719959.95,250,100,45,0,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Acer Aspire 3 A315-58-54M5,7390000,,,8,512,15.6,21,0,0,1,0,0,0,0,0,13.98517266,0,50,1,0,0,13899279.02,13824684.62,300,100,45,0,48,2,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS Zenbook 14 UM3406KA-PP590WS,31990000,8,16,32,1024,14,27,0,0,0,0,0,1,0,0,19.29295488,0,40,0,1,0,13206010.78,13704626.75,400,100,45,0,75,3,2880,1800,5184000,1,0,0,0,0,0,1,0
Laptop Dell Inspiron 15 3520 P112F007 U082W11BLU,8790000,,,8,256,15.6,24,0,0,1,0,0,0,0,0,14.56805085,0,30,1,0,0,13792440.69,13719959.95,250,100,45,1,41,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS ROG Strix G16 G614JU-N4132W,38990000,14,,16,512,16,25,0,0,0,0,1,0,0,0,19.29295488,0,40,1,0,6,22768891.99,22340518,300,100,45,1,90,3,2560,1600,4096000,0,0,1,0,0,1,0,0
Laptop HP EliteBook Ultra G1Q B04XSAT,25590000,12,,16,512,14,20,0,0,0,0,0,1,0,0,13.10868263,0,40,0,0,0,18386666.67,13824684.62,300,100,45,0,59,3,2240,1400,3136000,0,0,0,1,0,0,1,0
Laptop ASUS TUF Gaming FA506QM-HN016T,32990000,,,16,512,15.6,19,0,0,1,0,0,0,0,0,19.29295488,0,40,0,1,6,22432546.13,21948747.84,300,100,45,0,90,4,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop HP 245 G10 B8PF8AT,15590000,6,12,16,256,14,20,0,0,1,0,0,0,0,0,13.10868263,7,81.9,0,1,0,13343287.67,13719959.95,250,100,45,1,41,3,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Lenovo Thinkpad E14 Gen 6 21M4S28200,10090000,,,8,256,14,22,0,0,0,0,1,0,0,0,17.96314815,0,40,0,1,0,13485502.96,13824684.62,300,100,45,0,47,3,1920,1200,2304000,1,0,0,0,0,0,1,0
Laptop Dell Vostro 5620 V6I5001W1,22190000,,,8,256,16,22,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,0,13792440.69,13719959.95,250,100,45,0,54,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop ASUS TUF Gaming FX506LI-HN039T-,23490000,,,8,512,15.6,18,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,4,22432546.13,21948747.84,250,63,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Dell XPS 13 7390,15590000,,8,8,256,13.3,18,1,0,0,0,0,0,0,0,14.56805085,10,90,1,0,0,13757866.76,13710496.13,300,95,45,0,52,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Lenovo IdeaPad 3 14ITL6 82H701QYVN,15490000,4,8,16,512,14,23,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,0,13757866.76,13710496.13,300,100,45,1,45,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Dell Latidude 7320 9PPWV,19990000,,,16,256,13.3,14,0,0,0,1,0,0,0,0,14.56805085,0,40,0,0,0,18390000,13710496.13,300,100,45,1,48,3,1080,1920,2073600,0,0,0,1,0,0,1,0
Laptop Dell Vostro 14 3400 YX51W2,22990000,,,8,256,14,19,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,2,22439261.99,22025531.55,220,100,45,0,42,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo Ideapad Slim 3 14ARE05 81W30058VN,11590000,,,4,512,14,14,0,0,0,0,0,0,0,0,17.96314815,0,40,0,1,0,13485502.96,13824684.62,220,100,45,0,35,2,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Lenovo Thinkpad X1 Gen 9,21890000,,,16,512,14,22,0,0,0,1,0,0,0,0,17.96314815,1,73,1,0,0,13899279.02,13824684.62,400,100,45,0,48,4,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Dell Gaming G15 5515 P105F004CGR,25990000,,12,8,256,15.6,19,0,0,1,0,0,0,0,0,14.56805085,0,40,0,1,4,22768891.99,22340518,300,100,45,0,56,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop ASUS VivoBook X1502ZA-BQ127W,16500000,,,8,512,15.6,22,0,0,1,0,0,0,0,0,19.29295488,0,40,1,0,0,13899279.02,13824684.62,300,100,45,0,42,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS ROG Strix G16 G614JU-N4450W,40990000,14,,32,1024,16,23,0,0,0,0,1,0,0,0,19.29295488,0,40,1,0,6,22432546.13,21948747.84,500,100,45,1,90,3,2560,1600,4096000,0,0,1,0,0,1,0,0
Laptop Dell Vostro 3400 70235020,16890000,,,8,256,14,18,0,0,1,0,0,0,0,0,14.56805085,1,33,1,0,0,13792440.69,13719959.95,300,100,45,0,42,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop ASUS ROG Strix G16 G614JU-N4132W,38990000,14,,16,512,16,12,0,0,0,0,1,0,0,0,19.29295488,0,40,1,0,6,22439261.99,22025531.55,300,100,45,1,90,3,2560,1600,4096000,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad Slim 5 OLED 14IRH10 83HR0001VN,23490000,8,12,32,1024,14,27,0,0,0,0,1,0,0,0,17.96314815,0,40,1,0,0,13654235.33,13630870.22,400,100,45,0,60,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Lenovo Ideapad 3,15990000,,,4,128,15.6,12,0,0,1,0,0,0,0,0,17.96314815,0,40,1,0,0,13792440.69,13719959.95,300,100,45,0,48,3,1080,1920,2073600,0,1,0,0,0,0,1,0
Laptop HP Pavilion 14-DV0008TU 2D7A5PA,18090000,,8,8,512,14,22,0,0,1,0,0,0,0,0,13.10868263,0,40,1,0,0,13899279.02,13824684.62,300,100,45,1,43,3,1920,1080,2073600,0,1,0,0,0,0,1,0
Laptop Dell Latitude 3520 71012511,15590000,,,8,256,15.6,22,0,0,1,0,0,0,0,0,14.56805085,0,40,1,0,2,22432546.13,21948747.84,300,100,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Gaming Acer Nitro 5 Eagle AN515-57-5669 NH.QEHSV.001,23990000,,,8,512,15.6,21,0,0,1,0,0,0,0,0,16.07846154,0,40,1,0,4,22432546.13,21948747.84,300,100,45,0,57,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop MSI Prestige 14 EVO B13M-401VN,15290000,12,16,16,512,14,22,0,0,0,0,1,0,0,0,19.22594366,0,50,1,0,0,13792440.69,13719959.95,300,100,45,0,48,3,1920,1200,2304000,0,1,0,0,0,0,1,0
Laptop Gaming MSI Stealth 15M A11UEK 232VN,20690000,,,16,512,15.6,22,0,0,0,0,0,0,0,0,16.07846154,0,40,1,0,0,22439261.99,22025531.55,300,100,45,0,48,3,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo V14 G4 AMN 82YT00M8VN,14990000,4,8,16,512,14,24,0,0,0,0,1,0,0,0,17.96314815,7,81.9,0,1,0,13206010.78,13704626.75,300,100,45,1,38,3,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop Acer Gaming Nitro V 15 ProPanel ANV15-52-59AA,32990000,8,12,16,512,15.6,24,0,0,1,0,0,0,0,0,13.98517266,0,40,1,0,0,22768891.99,22340518,300,100,45,1,76,4,1920,1080,2073600,0,0,1,0,0,1,0,0
Laptop Lenovo Ideapad Yoga 6 13ALC6 82ND00BDVN,16800000,,16,8,512,13.3,19,0,0,1,0,0,0,0,0,17.96314815,0,40,0,1,0,13359707.6,13710496.13,300,100,45,0,60,4,1920,1080,2073600,1,0,0,0,0,0,1,0
Laptop LG Gram 2024 2in1 14T90S-G.AH55A5,44000000,,,16,512,14,12,0,0,0,0,0,1,0,0,22.43294118,0,40,1,0,0,13899279.02,13824684.62,300,100,45,1,72,3,1920,1200,2304000,0,1,0,0,0,0,1,0
